0,City,Country,Latitude,Temperature,Humidity,Cloud Cover,Wind Speed,Date
<citipy.citipy.City object at 0x000001BC497BBBA8>,geraldton,au,49.72,3.2,59,75,6.93,1518829200
<citipy.citipy.City object at 0x000001BC4A287780>,salumbar,in,24.14,64.03,54,0,2.62,1518832786
<citipy.citipy.City object at 0x000001BC4AB55748>,saint-philippe,re,45.36,21.61,53,1,13.87,1518830100
<citipy.citipy.City object at 0x000001BC49744FD0>,qarchi gak,af,37.04,42.1,93,75,3.33,1518832200
<citipy.citipy.City object at 0x000001BC4A3BDB38>,hirado,jp,33.32,46.4,61,20,6.93,1518829200
<citipy.citipy.City object at 0x000001BC49EFDDA0>,ilulissat,gl,69.22,1.4,70,76,6.93,1518828600
<citipy.citipy.City object at 0x000001BC4AE600F0>,nizhneyansk,ru,,,,,,
<citipy.citipy.City object at 0x000001BC4A9E60F0>,puro,ph,13.13,81.13,87,44,3.56,1518832788
<citipy.citipy.City object at 0x000001BC4B069C50>,uzumlu,tr,,,,,,
<citipy.citipy.City object at 0x000001BC4A85C240>,alcantara,ph,9.97,81.27,93,48,6.76,1518832789
<citipy.citipy.City object at 0x000001BC4A621B00>,mahebourg,mu,-20.41,78.8,94,20,6.42,1518829200
<citipy.citipy.City object at 0x000001BC4A60D208>,baruun-urt,mn,46.68,11.47,68,0,4.63,1518832789
<citipy.citipy.City object at 0x000001BC4B535358>,port alfred,za,-33.59,67.95,100,92,7.36,1518832790
<citipy.citipy.City object at 0x000001BC4B1DB978>,sandpoint,us,48.28,32.5,81,90,6.93,1518831300
<citipy.citipy.City object at 0x000001BC4AEFAA20>,sovetskiy,ru,56.76,3.19,84,68,8.14,1518832790
<citipy.citipy.City object at 0x000001BC4A3B9B38>,hasaki,jp,35.73,46.4,70,40,2.24,1518829200
<citipy.citipy.City object at 0x000001BC499FCF98>,iqaluit,ca,63.75,-11.21,42,75,12.75,1518829200
<citipy.citipy.City object at 0x000001BC49DC6588>,bure,et,10.52,66.42,37,0,9.26,1518832791
<citipy.citipy.City object at 0x000001BC4AD78198>,dikson,ru,73.51,-7.84,96,12,12.12,1518832791
<citipy.citipy.City object at 0x000001BC49D49D30>,cotacachi,ec,0.3,48.73,100,56,0.6,1518832693
<citipy.citipy.City object at 0x000001BC4AB37278>,vila franca do campo,pt,37.72,51.8,71,20,6.93,1518831000
<citipy.citipy.City object at 0x000001BC49A888D0>,tabou,ci,4.42,81.76,100,32,13.18,1518832792
<citipy.citipy.City object at 0x000001BC49A372E8>,tuktoyaktuk,ca,69.44,-5.41,83,75,18.34,1518829200
<citipy.citipy.City object at 0x000001BC4B0BFB70>,holoby,ua,51.09,26.82,92,76,9.89,1518832793
<citipy.citipy.City object at 0x000001BC4AE54668>,nekhayevskiy,ru,50.41,18.94,93,92,9.89,1518832793
<citipy.citipy.City object at 0x000001BC497B5E48>,burnie,au,-41.05,63.9,100,76,24.2,1518832793
<citipy.citipy.City object at 0x000001BC4A2D7B70>,zafarabad,in,40.39,25.29,89,80,3.62,1518832793
<citipy.citipy.City object at 0x000001BC4B20FF60>,garden city,us,40.73,41.04,56,1,11.41,1518832560
<citipy.citipy.City object at 0x000001BC497B5B00>,broome,au,52.47,33.8,88,80,3.36,1518830400
<citipy.citipy.City object at 0x000001BC49AD2860>,kaitong,cn,44.81,12.96,66,0,7.02,1518832794
<citipy.citipy.City object at 0x000001BC4B5266D8>,bredasdorp,za,-34.53,68,64,44,4.7,1518829200
<citipy.citipy.City object at 0x000001BC4AEDACC0>,severo-yeniseyskiy,ru,60.37,-7.43,75,76,3.06,1518832795
<citipy.citipy.City object at 0x000001BC4A4696D8>,espanola,us,46.27,11.07,58,0,7.31,1518832795
<citipy.citipy.City object at 0x000001BC49DA8908>,naron,es,43.52,53.14,100,68,13.4,1518832795
<citipy.citipy.City object at 0x000001BC4A61AB38>,bambous virieux,mu,-20.34,78.8,94,20,6.42,1518829200
<citipy.citipy.City object at 0x000001BC49B8B860>,san rafael,co,-34.61,61.42,97,32,6.35,1518832669
<citipy.citipy.City object at 0x000001BC4A4B5DA0>,muskogee,us,35.75,43.57,65,1,4.23,1518830100
<citipy.citipy.City object at 0x000001BC497BECC0>,kiama,au,-34.67,82.4,45,40,11.41,1518829200
<citipy.citipy.City object at 0x000001BC4AB3A908>,asuncion,py,-25.3,75.2,83,90,3.36,1518832800
<citipy.citipy.City object at 0x000001BC49BCEBE0>,sao filipe,cv,14.9,68.62,100,68,16.71,1518832798
<citipy.citipy.City object at 0x000001BC4A7F84E0>,tuatapere,nz,-46.13,60.75,93,20,19.22,1518832798
<citipy.citipy.City object at 0x000001BC49A86BA8>,katiola,ci,8.14,72.94,59,12,3.74,1518832798
<citipy.citipy.City object at 0x000001BC4AF97BE0>,buraydah,sa,26.33,69.8,43,40,6.93,1518829200
<citipy.citipy.City object at 0x000001BC4A8491D0>,faanui,pf,-16.48,83.11,97,92,13.35,1518832799
<citipy.citipy.City object at 0x000001BC497B86D8>,charters towers,au,-20.07,83.61,99,48,4.23,1518832799
<citipy.citipy.City object at 0x000001BC4A3D37F0>,katsuura,jp,33.93,44.6,45,20,23.04,1518829200
<citipy.citipy.City object at 0x000001BC49A0C3C8>,mayo,ca,63.59,3.2,84,40,2.55,1518829200
<citipy.citipy.City object at 0x000001BC4AEDA978>,severo-kurilsk,ru,50.68,23.89,100,44,12.12,1518832800
<citipy.citipy.City object at 0x000001BC497C5EB8>,nguiu,au,,,,,,
